year,age,sex,college,partyid,hompop,hours,income,class,finrela,weight
1993,59,female,degree,ind,2,40,$25000 or more,middle class,average,1.0571
2016,35,female,no degree,ind,1,38,$20000 - 24999,working class,below average,0.478496755745219
1985,34,female,no degree,dem,4,44,$7000 to 7999,working class,far below average,0.5181
1980,41,male,degree,dem,5,50,$25000 or more,upper class,far above average,1
1990,22,female,no degree,dem,5,40,$20000 - 24999,middle class,average,2.1254
1978,33,male,no degree,ind,4,56,$25000 or more,middle class,average,1.0127
1977,23,female,no degree,ind,2,40,$10000 - 14999,working class,below average,0.9881
1998,29,female,no degree,dem,1,40,$10000 - 14999,lower class,far below average,0.5501
1986,29,female,no degree,rep,1,42,$25000 or more,middle class,above average,0.5036
2014,34,male,degree,ind,6,40,$25000 or more,working class,below average,2.68801015697006
1978,56,male,no degree,other,2,70,$15000 - 19999,working class,average,1.0127
2018,22,male,no degree,ind,3,48,$25000 or more,working class,below average,0.94299710965324
1998,60,female,no degree,ind,2,30,$8000 to 9999,working class,below average,1.1001
2014,27,female,degree,ind,2,50,$25000 or more,middle class,above average,3.45147683226767
2002,25,male,degree,ind,3,16,$25000 or more,middle class,above average,1.6734
2006,28,female,degree,ind,2,42,$15000 - 19999,working class,below average,0.4297
1980,39,male,no degree,ind,4,40,$20000 - 24999,middle class,average,1.0225
2008,23,male,no degree,ind,1,50,$25000 or more,working class,average,0.437744751369553
1998,30,male,degree,dem,3,60,$20000 - 24999,working class,below average,1.1001
1982,25,female,degree,rep,3,35,$10000 - 14999,middle class,average,1.5478
1988,26,female,no degree,dem,4,40,$20000 - 24999,working class,average,1.594
1977,32,male,no degree,rep,1,40,$10000 - 14999,working class,below average,0.4941
2018,51,female,no degree,ind,1,40,$20000 - 24999,working class,above average,0.47149855482662
1986,30,male,no degree,ind,4,40,$15000 - 19999,working class,below average,1.0072
1985,51,male,no degree,dem,3,19,$20000 - 24999,working class,below average,1.5544
1974,64,male,no degree,dem,3,40,$7000 to 7999,working class,below average,0.932
1994,41,male,degree,rep,2,40,$25000 or more,middle class,average,1.0825
2000,34,female,no degree,ind,4,40,$25000 or more,middle class,above average,1.0985
1985,49,male,no degree,rep,4,40,$25000 or more,working class,average,1.5544
2000,28,female,no degree,rep,4,30,$1000 to 2999,working class,average,1.0985
2006,45,male,no degree,ind,4,70,$20000 - 24999,working class,far below average,1.7953
2008,33,male,degree,other,6,30,$25000 or more,middle class,below average,0.875489502739106
2006,26,female,no degree,ind,3,40,$4000 to 4999,working class,average,0.9548
1974,31,female,no degree,ind,2,20,$5000 to 5999,middle class,below average,0.466
1996,32,male,no degree,other,1,70,$20000 - 24999,lower class,average,0.5432
1988,45,female,degree,rep,4,50,$25000 or more,middle class,above average,1.0627
1998,42,male,no degree,rep,4,56,$25000 or more,working class,far below average,2.2002
1989,48,female,no degree,ind,4,40,$25000 or more,working class,average,2.0429
1983,37,male,degree,dem,2,39,$25000 or more,middle class,above average,1.0116
1985,33,female,no degree,rep,5,6,$25000 or more,middle class,below average,1.0363
1982,61,male,no degree,dem,2,25,$15000 - 19999,middle class,average,1.0319
1982,30,female,degree,dem,1,30,$15000 - 19999,working class,average,0.5159
1984,59,female,no degree,ind,2,40,$8000 to 9999,working class,average,0.5165
1986,71,male,no degree,rep,2,30,$15000 - 19999,working class,average,1.0072
2012,26,female,no degree,ind,10,20,$25000 or more,working class,below average,2.47138877970407
2002,42,female,degree,rep,4,60,$25000 or more,middle class,above average,1.1156
2014,25,female,no degree,ind,1,45,$20000 - 24999,working class,average,0.690295366453534
1998,29,male,no degree,ind,4,48,$25000 or more,working class,above average,1.1001
2014,50,male,degree,ind,2,60,$25000 or more,middle class,above average,0.448001692828344
1994,25,male,no degree,ind,5,40,$15000 - 19999,working class,below average,1.0825
1977,42,male,degree,rep,6,55,$25000 or more,upper class,far below average,0.9881
1988,42,female,no degree,ind,8,38,$25000 or more,middle class,above average,2.1254
1983,27,male,no degree,dem,5,57,$25000 or more,working class,average,2.0233
1987,23,male,no degree,rep,2,35,$10000 - 14999,middle class,below average,1.0104
2014,40,female,no degree,ind,4,27,$25000 or more,working class,average,0.896003385656687
2014,33,female,no degree,rep,2,50,$25000 or more,working class,average,0.896003385656687
1984,37,female,no degree,dem,4,15,$25000 or more,working class,average,1.0331
1996,23,female,no degree,rep,3,40,$25000 or more,working class,above average,1.0864
1982,30,male,degree,dem,3,45,$25000 or more,middle class,above average,1.0319
1989,62,female,no degree,dem,1,40,$10000 - 14999,working class,below average,0.5107
1985,51,female,no degree,dem,4,28,$25000 or more,middle class,above average,1.0363
1996,33,female,no degree,rep,3,60,$25000 or more,working class,average,1.0864
1990,58,male,degree,rep,2,40,$25000 or more,middle class,above average,1.0627
1986,28,male,degree,dem,1,50,$15000 - 19999,working class,average,0.5036
1998,45,male,no degree,ind,4,4,$25000 or more,middle class,average,1.1001
2004,32,female,degree,dem,5,40,$25000 or more,middle class,average,1.3776
2004,19,male,no degree,rep,3,44,$5000 to 5999,middle class,average,0.9184
1982,54,male,no degree,rep,3,40,$25000 or more,middle class,above average,1.5478
2010,51,male,degree,ind,1,35,$25000 or more,middle class,above average,0.463127684189935
1976,27,male,no degree,dem,8,50,$6000 to 6999,middle class,far below average,1.4563
2000,31,male,no degree,rep,1,43,$25000 or more,working class,average,0.5493
2016,61,male,no degree,ind,1,70,$25000 or more,working class,average,0.478496755745219
1976,21,female,no degree,ind,2,40,$7000 to 7999,middle class,below average,0.9709
1982,43,male,degree,dem,4,40,$25000 or more,working class,average,1.0319
2014,57,female,no degree,dem,2,20,$25000 or more,middle class,average,0.896003385656687
2008,87,male,no degree,ind,1,40,$25000 or more,working class,average,0.437744751369553
2014,65,female,no degree,dem,3,40,$25000 or more,middle class,far below average,1.34400507848503
1984,26,male,no degree,ind,2,20,$25000 or more,working class,above average,1.0331
1993,39,female,no degree,ind,6,37,$20000 - 24999,working class,average,1.0571
2002,34,male,degree,dem,1,88,$25000 or more,middle class,above average,0.5578
1994,30,female,no degree,dem,3,44,$25000 or more,working class,average,1.0825
1993,23,female,degree,rep,2,30,$10000 - 14999,middle class,above average,1.0571
1987,55,male,no degree,ind,2,40,$10000 - 14999,working class,below average,1.0104
1994,62,male,degree,rep,1,24,$25000 or more,middle class,average,0.5412
2004,37,female,no degree,dem,4,30,$7000 to 7999,working class,average,0.9617
1996,37,male,no degree,dem,4,80,$25000 or more,working class,average,1.0864
2018,54,female,degree,dem,2,40,$8000 to 9999,working class,average,0.47149855482662
1994,52,female,no degree,rep,2,40,$25000 or more,middle class,average,1.0825
1998,41,male,degree,rep,4,60,$25000 or more,upper class,above average,1.1001
1993,49,female,no degree,dem,5,80,$25000 or more,working class,average,0.5285
1998,32,male,degree,dem,4,40,$25000 or more,working class,average,1.1001
1991,40,female,no degree,dem,2,15,$15000 - 19999,working class,below average,1.0621
2000,52,male,no degree,ind,2,43,$25000 or more,middle class,above average,1.0985
2014,40,male,degree,rep,4,50,$25000 or more,middle class,above average,0.896003385656687
2014,42,female,degree,dem,3,40,$25000 or more,working class,below average,0.690295366453534
1980,59,male,no degree,rep,1,40,$20000 - 24999,middle class,above average,0.5112
2018,34,male,no degree,ind,4,53,$25000 or more,lower class,above average,0.94299710965324
2016,58,female,no degree,rep,3,22,$25000 or more,middle class,average,2.34654504446286
2018,50,female,no degree,dem,5,30,$25000 or more,working class,below average,0.94299710965324
1991,52,male,no degree,dem,2,40,$25000 or more,working class,average,1.0621
1986,27,female,no degree,dem,3,12,$25000 or more,lower class,far below average,1.5108
2008,36,male,no degree,other,4,86,$25000 or more,working class,average,0.875489502739106
1985,39,male,degree,rep,3,45,$25000 or more,upper class,far above average,1.0363
2006,38,male,degree,rep,1,25,$10000 - 14999,lower class,below average,0.4488
1985,61,male,no degree,rep,2,30,$25000 or more,middle class,above average,1.0363
2014,29,male,degree,rep,1,55,$25000 or more,middle class,above average,0.690295366453534
2000,37,male,no degree,dem,3,50,$25000 or more,working class,average,1.0985
2000,32,female,no degree,dem,2,40,$15000 - 19999,lower class,below average,1.0985
1982,19,male,no degree,dem,7,20,$15000 - 19999,lower class,average,3.0957
1982,29,female,no degree,ind,5,25,$3000 to 3999,lower class,far below average,1.5478
1996,48,male,no degree,ind,3,40,$25000 or more,working class,average,1.6295
1998,51,male,no degree,dem,1,40,$15000 - 19999,working class,below average,0.5501
1987,60,female,degree,dem,2,25,$25000 or more,middle class,above average,1.0104
1987,28,male,no degree,rep,3,40,$15000 - 19999,working class,average,1.0104
1977,48,male,no degree,rep,3,40,$25000 or more,middle class,above average,1.4822
1986,43,female,no degree,rep,2,30,$25000 or more,middle class,above average,1.0072
1988,55,female,no degree,ind,1,40,$25000 or more,middle class,average,0.5313
1990,61,male,no degree,rep,2,40,$25000 or more,middle class,above average,1.0627
2018,52,male,no degree,dem,3,40,$25000 or more,working class,below average,0.94299710965324
1989,18,male,no degree,rep,2,21,$20000 - 24999,middle class,below average,1.0215
1982,57,male,no degree,dem,3,75,$20000 - 24999,working class,average,1.5478
1980,57,female,no degree,dem,2,40,$20000 - 24999,working class,below average,1.0225
2018,55,male,no degree,ind,3,40,$25000 or more,middle class,average,0.94299710965324
1991,57,female,no degree,dem,3,40,$25000 or more,working class,average,1.5932
